
#v3
1495838341.495379 2017-05-27T11:51:31.300Z G  43.329170 -71.608643 452.099752 0.000 0.000 0.0 *
1495838405.001376 2017-05-27T11:52:34.000Z A 713  0.392  0.625  0.863 -0.196  0.103  0.275  9.179  9.600  9.846 *
1495838406.000993 2017-05-27T11:52:35.000Z A 707  0.392  0.616  0.824 -0.118  0.111  0.314  9.218  9.596  9.846 *
1495838407.000251 2017-05-27T11:52:36.000Z A 699  0.392  0.623  0.863 -0.157  0.108  0.275  9.297  9.600  9.846 *
1495838408.001119 2017-05-27T11:52:37.000Z A 710  0.392  0.624  0.863 -0.196  0.109  0.314  9.179  9.612  9.885 *
1495838409.001499 2017-05-27T11:52:38.000Z A 707  0.314  0.623  0.863 -0.196  0.105  0.353  9.336  9.619  9.885 *
1495838410.000532 2017-05-27T11:52:39.000Z A 690  0.392  0.610  0.863 -0.196  0.096  0.314  9.336  9.594  9.807 *
1495838411.001225 2017-05-27T11:52:40.000Z A 709  0.353  0.626  0.824 -0.079  0.108  0.314  9.258  9.597  9.807 *
1495838412.000415 2017-05-27T11:52:41.000Z A 695  0.431  0.636  0.863 -0.079  0.111  0.431  9.297  9.617  9.924 *
1495838413.000294 2017-05-27T11:52:42.000Z A 689  0.431  0.628  0.863 -0.118  0.100  0.314  9.258  9.593  9.924 *
1495838414.000842 2017-05-27T11:52:43.000Z A 708  0.431  0.618  0.824 -0.118  0.107  0.275  9.336  9.612  9.807 *
1495838415.000895 2017-05-27T11:52:44.000Z A 703  0.392  0.625  0.902 -0.039  0.107  0.431  9.258  9.608  9.885 *
1495838416.001401 2017-05-27T11:52:45.000Z A 711  0.353  0.620  0.863 -0.118  0.101  0.314  9.336  9.611  9.846 *
1495838417.001206 2017-05-27T11:52:46.000Z A 695  0.471  0.635  0.863 -0.118  0.102  0.353  9.218  9.601  9.964 *
1495838418.001112 2017-05-27T11:52:47.000Z A 710  0.392  0.629  0.863 -0.118  0.103  0.353  9.297  9.595  9.924 *
1495838419.001223 2017-05-27T11:52:48.000Z A 709  0.353  0.622  0.981 -0.118  0.111  0.353  9.297  9.607  10.003 *
1495838420.000796 2017-05-27T11:52:49.000Z A 708  0.353  0.640  0.941 -0.079  0.122  0.431  9.179  9.597  9.924 *
1495838421.001618 2017-05-27T11:52:50.000Z A 707  0.353  0.636  0.902 -0.196  0.133  0.510  9.258  9.596  9.924 *
1495838422.001286 2017-05-27T11:52:51.000Z A 697  0.431  0.618  0.824 -0.157  0.108  0.392  9.336  9.608  9.885 *
1495838423.002204 2017-05-27T11:52:52.000Z A 709  0.392  0.625  0.824 -0.079  0.089  0.275  9.297  9.597  9.846 *
