
#v3
2017-10-06T13:53:26.000Z G  43.329218 -71.608590 400.262480 0.00 0 54 *
2017-10-06T13:53:29.000Z A 1  0.000  1.569  1.569  0.000  1.647  1.647  0.000  8.434  8.434 *
2017-10-06T13:55:59.000Z A 832 -2.667  0.214  3.138 -1.412  0.224  2.197  5.217  9.528  14.082 *
2017-10-06T13:56:00.000Z A 841 -3.020  0.207  3.609 -1.216  0.263  2.471  5.335  9.550  13.925 *
2017-10-06T13:56:01.000Z A 811 -2.589  0.222  3.962 -1.098  0.243  1.844  5.021  9.549  13.808 *
2017-10-06T13:56:02.000Z A 841 -3.452  0.219  3.413 -1.412  0.238  2.354  5.374  9.567  13.651 *
2017-10-06T13:56:02.000Z A 815 -2.824  0.228  3.609 -1.334  0.230  1.961  5.256  9.547  13.690 *
2017-10-06T13:56:04.000Z A 832 -2.903  0.194  3.295 -1.451  0.256  2.314  5.374  9.526  14.200 *
2017-10-06T13:56:05.000Z A 839 -2.667  0.228  3.295 -1.373  0.229  2.197  5.413  9.509  13.690 *
2017-10-06T13:56:06.000Z A 815 -2.785  0.188  3.373 -1.177  0.246  2.236  5.335  9.508  13.965 *
2017-10-06T13:56:07.000Z A 842 -2.824  0.229  3.177 -1.334  0.247  2.197  5.374  9.557  13.533 *
2017-10-06T13:56:07.000Z A 831 -3.138  0.202  2.981 -1.530  0.260  2.079  5.492  9.573  13.847 *
2017-10-06T13:56:09.000Z A 834 -2.942  0.217  3.570 -1.491  0.226  2.197  5.256  9.497  13.455 *
2017-10-06T13:56:10.000Z A 841 -2.746  0.212  3.295 -1.138  0.240  2.393  5.060  9.535  13.886 *
2017-10-06T13:56:11.000Z A 808 -3.020  0.250  3.334 -1.177  0.237  2.197  5.256  9.512  14.043 *
2017-10-06T13:56:12.000Z A 842 -3.334  0.234  3.334 -1.334  0.249  2.079  4.943  9.494  14.553 *
2017-10-06T13:56:12.000Z A 831 -2.471  0.228  3.334 -1.216  0.249  2.197  5.335  9.539  14.396 *
2017-10-06T13:56:14.000Z A 808 -2.550  0.221  3.491 -1.334  0.248  2.393  5.296  9.530  13.925 *
2017-10-06T13:56:15.000Z A 842 -2.981  0.169  3.138 -1.255  0.239  1.922  5.335  9.499  13.533 *
2017-10-06T13:56:16.000Z A 816 -2.667  0.229  3.687 -1.530  0.214  2.314  5.335  9.534  13.690 *
2017-10-06T13:56:17.000Z A 844 -3.256  0.204  3.413 -1.255  0.261  2.197  5.374  9.492  13.690 *
2017-10-06T13:56:17.000Z A 832 -2.746  0.219  3.256 -1.138  0.233  2.197  5.492  9.500  14.082 *
2017-10-06T13:56:19.000Z A 828 -2.824  0.198  3.256 -1.294  0.256  2.236  5.296  9.496  13.925 *
2017-10-06T13:56:20.000Z A 840 -2.589  0.212  3.295 -1.412  0.253  2.471  5.217  9.562  14.004 *
2017-10-06T13:56:21.000Z A 814 -3.334  0.215  3.334 -1.177  0.264  2.158  5.296  9.505  14.122 *
2017-10-06T13:56:22.000Z A 843 -2.903  0.209  3.452 -1.216  0.242  2.040  5.060  9.562  14.004 *
2017-10-06T13:56:22.000Z A 831 -3.373  0.205  3.413 -1.294  0.265  2.393  5.296  9.503  14.435 *
2017-10-06T13:56:24.000Z G  43.329208 -71.608587 395.997388 0.00 0 61 *
2017-10-06T13:56:24.000Z A 830 -2.707  0.217  3.727 -1.608  0.256  2.275  5.335  9.512  14.200 *
2017-10-06T13:56:25.000Z A 841 -2.667  0.208  3.452 -1.334  0.243  2.275  5.413  9.532  14.318 *
2017-10-06T13:56:26.000Z A 815 -2.942  0.212  3.687 -1.491  0.256  2.354  5.217  9.517  14.435 *
2017-10-06T13:56:27.000Z A 842 -2.667  0.195  3.452 -1.765  0.235  2.118  5.374  9.527  14.514 *
2017-10-06T13:56:27.000Z A 831 -2.903  0.196  3.609 -1.294  0.248  2.314  5.099  9.547  14.396 *
2017-10-06T13:56:29.000Z A 835 -2.785  0.238  3.923 -1.687  0.228  2.118  5.374  9.515  14.553 *
2017-10-06T13:56:30.000Z A 820 -2.824  0.209  3.491 -1.373  0.244  2.393  5.570  9.508  14.514 *
2017-10-06T13:56:31.000Z A 814 -2.981  0.208  3.452 -1.647  0.241  2.393  5.178  9.542  14.710 *
