
#v3
2017-06-24T11:36:57.000Z G  44.011608 -71.096930 530.839912 0.000 0.000 0 *
2017-06-24T11:36:57.000Z A 1 -1.177 -1.177  0.000 -0.745 -0.745  0.000  0.000  8.041  8.041 *
2017-06-24T11:39:13.000Z A 842 -4.707  0.040  3.570 -1.334  1.799  6.551  4.276  9.485  17.730 *
2017-06-24T11:39:14.000Z A 825 -4.982  0.103  3.334 -1.294  1.772  7.022  4.668  9.584  18.593 *
2017-06-24T11:39:15.000Z A 842 -4.668  0.075  3.334 -1.491  1.786  6.747  3.883  9.515  18.790 *
2017-06-24T11:39:16.000Z A 827 -4.590  0.060  3.138 -1.255  1.728  6.198  4.040  9.604  17.573 *
2017-06-24T11:39:17.000Z A 848 -4.433  0.068  3.530 -1.451  1.679  6.668  3.687  9.559  18.319 *
2017-06-24T11:39:18.000Z A 842 -4.315  0.043  3.256 -1.255  1.769  6.825  4.315  9.481  18.044 *
2017-06-24T11:39:19.000Z A 828 -4.433  0.105  3.060 -1.608  1.784  6.865  4.237  9.558  18.162 *
2017-06-24T11:39:20.000Z A 848 -4.786  0.074  3.334 -1.334  1.715  6.512  4.119  9.497  17.966 *
2017-06-24T11:39:21.000Z A 806 -4.393  0.047  3.099 -1.569  1.813  6.825  3.883  9.567  18.868 *
2017-06-24T11:39:22.000Z A 847 -4.707  0.116  3.334 -1.569  1.777  7.492  4.158  9.501  18.201 *
2017-06-24T11:39:23.000Z A 840 -4.472  0.073  3.727 -1.530  1.740  6.668  4.080  9.505  18.358 *
2017-06-24T11:39:24.000Z A 826 -4.197  0.116  3.217 -1.765  1.797  6.629  4.276  9.560  17.534 *
2017-06-24T11:39:25.000Z A 846 -4.315  0.085  3.138 -1.451  1.709  6.668  4.433  9.525  17.613 *
2017-06-24T11:39:26.000Z A 822 -4.276  0.088  3.020 -1.255  1.775  6.629  4.080  9.538  18.162 *
2017-06-24T11:39:27.000Z A 836 -4.590  0.106  3.334 -1.491  1.743  6.041  4.237  9.570  17.299 *
2017-06-24T11:39:28.000Z A 836 -4.590  0.039  3.138 -1.334  1.795  6.355  4.315  9.536  18.476 *
2017-06-24T11:39:29.000Z A 845 -3.923  0.123  2.942 -1.491  1.761  6.629  3.923  9.572  18.711 *
2017-06-24T11:39:30.000Z A 843 -4.629  0.072  3.373 -1.334  1.763  6.904  4.080  9.561  17.613 *
2017-06-24T11:39:30.000Z A 821 -4.590  0.088  3.060 -1.334  1.714  6.119  4.276  9.514  18.319 *
2017-06-24T11:39:32.000Z A 823 -4.354  0.082  3.570 -1.373  1.804  6.708  4.433  9.474  17.377 *
2017-06-24T11:39:33.000Z A 841 -4.315  0.049  3.334 -1.373  1.705  6.472  3.883  9.547  18.515 *
2017-06-24T11:39:34.000Z A 817 -4.119  0.035  2.981 -1.451  1.815  6.825  4.158  9.439  18.044 *
2017-06-24T11:39:35.000Z A 845 -5.021  0.054  3.138 -1.334  1.757  6.865  4.668  9.501  17.927 *
2017-06-24T11:39:35.000Z A 828 -4.040  0.069  3.099 -1.255  1.762  7.100  4.080  9.576  17.417 *
2017-06-24T11:39:37.000Z A 821 -4.550  0.110  3.334 -1.334  1.769  6.825  4.433  9.576  17.613 *
2017-06-24T11:39:38.000Z A 842 -4.707  0.096  3.373 -1.255  1.721  6.472  4.197  9.529  17.809 *
2017-06-24T11:39:39.000Z A 820 -4.433  0.084  3.138 -1.373  1.776  7.296  4.276  9.538  18.436 *
2017-06-24T11:39:40.000Z A 843 -4.433  0.046  3.570 -1.451  1.802  6.394  4.511  9.551  17.966 *
2017-06-24T11:39:40.000Z A 847 -4.472  0.038  3.020 -1.451  1.770  6.002  4.001  9.552  18.672 *
2017-06-24T11:39:42.000Z A 822 -4.315  0.053  3.491 -1.491  1.786  6.472  4.001  9.619  17.848 *
2017-06-24T11:39:43.000Z A 845 -4.472  0.068  3.609 -1.530  1.856  6.394  4.119  9.462  19.574 *
2017-06-24T11:39:44.000Z A 819 -4.472  0.078  3.373 -1.373  1.832  6.943  4.080  9.387  19.299 *
2017-06-24T11:39:45.000Z A 844 -4.707  0.053  3.609 -1.412  1.794  6.708  3.570  9.517  19.417 *
2017-06-24T11:39:45.000Z A 851 -4.197  0.066  3.570 -1.530  1.741  6.394  3.570  9.570  18.436 *
