
#v3
2017-09-30T12:41:33.000Z G  43.616878 -71.166043 585.301856 0.00 0 249 *
2017-09-30T12:41:33.000Z A 1  0.000  1.687  1.687  0.000  1.883  1.883  0.000  8.473  8.473 *
2017-09-30T12:42:45.000Z A 845 -3.334  0.085  2.118 -1.922  0.922  3.334  2.942  9.466  16.436 *
2017-09-30T12:42:46.000Z A 818 -3.727  0.054  2.158 -1.883  0.907  3.373  3.373  9.536  16.554 *
2017-09-30T12:42:47.000Z A 845 -3.530  0.053  2.079 -1.883  0.913  3.530  2.824  9.506  17.103 *
2017-09-30T12:42:48.000Z A 838 -2.942  0.050  2.118 -1.804  0.910  3.138  3.217  9.549  16.044 *
2017-09-30T12:42:49.000Z A 828 -3.452  0.042  2.197 -2.314  0.925  3.217  3.060  9.491  16.710 *
2017-09-30T12:42:50.000Z A 844 -3.099  0.074  2.354 -2.393  0.880  3.217  3.570  9.561  16.397 *
2017-09-30T12:42:51.000Z A 828 -3.452  0.046  2.510 -1.765  0.929  3.138  3.099  9.493  16.554 *
2017-09-30T12:42:52.000Z A 838 -3.177  0.068  2.079 -1.922  0.936  3.177  3.060  9.435  16.671 *
2017-09-30T12:42:53.000Z A 838 -3.373  0.066  2.158 -1.922  0.889  3.099  2.981  9.446  16.279 *
2017-09-30T12:42:54.000Z A 825 -3.766  0.065  2.158 -1.726  0.938  3.099  3.060  9.465  16.632 *
2017-09-30T12:42:55.000Z A 826 -3.334  0.035  2.158 -2.236  0.919  3.452  3.256  9.543  16.475 *
2017-09-30T12:42:56.000Z A 819 -3.138  0.066  2.393 -1.647  0.926  2.942  3.177  9.442  16.318 *
2017-09-30T12:42:57.000Z A 844 -3.413  0.066  2.001 -1.922  0.917  3.413  3.217  9.462  16.593 *
2017-09-30T12:42:58.000Z A 689 -2.864  0.087  2.158 -1.844  0.914  3.177  3.217  9.579  16.358 *
2017-09-30T12:42:59.000Z A 823 -3.452  0.050  2.236 -2.275  0.913  3.138  3.373  9.514  17.024 *
2017-09-30T12:43:00.000Z A 842 -3.491  0.060  2.118 -1.922  0.905  3.217  3.256  9.512  16.240 *
2017-09-30T12:43:01.000Z A 825 -3.099  0.050  2.236 -1.883  0.905  3.060  2.785  9.488  16.318 *
2017-09-30T12:43:02.000Z A 844 -3.138  0.063  2.158 -1.883  0.929  3.020  3.295  9.435  16.632 *
2017-09-30T12:43:03.000Z A 835 -3.373  0.047  2.314 -2.079  0.918  3.217  3.413  9.514  16.318 *
2017-09-30T12:43:04.000Z A 814 -3.256  0.083  2.236 -2.118  0.894  2.981  3.217  9.478  16.710 *
2017-09-30T12:43:05.000Z A 843 -3.609  0.051  2.001 -2.589  0.959  3.177  2.746  9.408  16.514 *
2017-09-30T12:43:05.000Z A 841 -3.295  0.054  2.197 -1.883  0.907  3.334  3.295  9.490  16.514 *
2017-09-30T12:43:07.000Z A 830 -3.727  0.066  2.079 -1.765  0.956  3.334  2.942  9.406  16.632 *
2017-09-30T12:43:08.000Z A 821 -3.452  0.061  2.314 -1.961  0.911  3.217  3.570  9.504  16.828 *
2017-09-30T12:43:09.000Z A 820 -3.413  0.073  2.236 -1.765  0.879  3.060  3.138  9.498  16.279 *
2017-09-30T12:43:10.000Z A 839 -3.099  0.062  2.197 -2.001  0.903  3.295  3.530  9.516  16.907 *
2017-09-30T12:43:10.000Z A 837 -3.452  0.052  2.118 -1.608  0.941  3.295  3.099  9.426  15.887 *
2017-09-30T12:43:12.000Z A 834 -3.452  0.068  2.118 -1.961  0.913  2.824  2.785  9.432  16.554 *
2017-09-30T12:43:13.000Z A 844 -3.570  0.076  2.079 -1.922  0.884  3.334  3.530  9.486  16.358 *
2017-09-30T12:43:14.000Z A 821 -2.942  0.052  2.550 -1.961  0.882  3.138  3.295  9.550  16.240 *
2017-09-30T12:43:15.000Z A 841 -3.413  0.061  2.079 -1.844  0.907  3.177  3.060  9.547  16.475 *
2017-09-30T12:43:15.000Z A 833 -3.413  0.051  2.236 -1.726  0.956  3.138  3.020  9.521  17.181 *
2017-09-30T12:43:17.000Z A 833 -3.138  0.073  2.079 -2.275  0.917  3.256  3.217  9.540  16.005 *
2017-09-30T12:43:18.000Z A 842 -3.687  0.053  2.079 -1.726  0.913  3.256  2.824  9.471  16.867 *
2017-09-30T12:43:19.000Z A 820 -3.373  0.055  2.314 -2.040  0.910  3.020  3.256  9.426  16.397 *
2017-09-30T12:43:20.000Z A 843 -3.373  0.061  2.001 -1.569  0.911  3.217  3.099  9.472  16.554 *
2017-09-30T12:43:20.000Z A 840 -3.099  0.055  2.079 -1.883  0.947  3.256  3.060  9.494  16.710 *
2017-09-30T12:43:22.000Z A 805 -2.746  0.094  2.236 -1.765  0.886  3.020  2.981  9.485  15.808 *
2017-09-30T12:43:23.000Z A 845 -3.413  0.041  2.118 -1.726  0.903  3.138  3.648  9.523  16.358 *
2017-09-30T12:43:24.000Z A 819 -3.334  0.024  2.354 -1.844  0.932  3.295  3.373  9.562  16.671 *
2017-09-30T12:43:25.000Z A 845 -3.295  0.063  2.197 -1.844  0.939  3.060  2.942  9.482  16.397 *
2017-09-30T12:43:26.000Z A 826 -3.334  0.051  2.040 -1.804  0.944  3.060  3.138  9.424  16.554 *
2017-09-30T12:43:27.000Z A 844 -3.177  0.050  2.275 -1.883  0.920  2.903  3.295  9.503  16.201 *
2017-09-30T12:43:28.000Z A 835 -3.766  0.066  2.079 -1.961  0.886  3.138  3.491  9.496  16.161 *
2017-09-30T12:43:29.000Z A 827 -3.256  0.050  2.275 -1.844  0.909  3.295  3.256  9.523  16.946 *
2017-09-30T12:43:30.000Z A 844 -2.981  0.050  2.393 -2.158  0.913  3.020  3.138  9.493  16.867 *
2017-09-30T12:43:31.000Z A 825 -3.491  0.076  1.961 -1.804  0.884  3.217  3.138  9.546  16.671 *
2017-09-30T12:43:32.000Z A 844 -3.177  0.044  2.079 -2.040  0.924  3.217  2.942  9.576  16.985 *
2017-09-30T12:43:33.000Z A 837 -3.256  0.036  2.158 -2.040  0.918  2.903  3.256  9.547  16.475 *
2017-09-30T12:43:34.000Z A 824 -3.177  0.062  2.197 -2.079  0.884  3.020  3.491  9.459  16.397 *
2017-09-30T12:43:35.000Z A 828 -3.138  0.069  2.354 -2.236  0.917  3.099  2.432  9.395  16.005 *
2017-09-30T12:43:36.000Z A 824 -3.687  0.041  2.158 -1.804  0.949  3.256  2.981  9.539  16.867 *
2017-09-30T12:43:37.000Z G  43.616853 -71.166030 586.614192 0.00 0 248 *
2017-09-30T12:43:37.000Z A 842 -3.177  0.086  2.275 -2.354  0.915  3.060  3.138  9.446  16.161 *
2017-09-30T12:43:38.000Z A 832 -3.256  0.058  2.275 -2.040  0.912  3.060  3.099  9.497  16.475 *
2017-09-30T12:43:39.000Z A 823 -3.452  0.050  2.158 -2.079  0.910  3.491  3.099  9.549  16.789 *
2017-09-30T12:43:40.000Z A 843 -3.609  0.075  2.197 -1.765  0.908  3.020  2.981  9.459  16.554 *
2017-09-30T12:43:41.000Z A 825 -3.530  0.063  2.079 -1.765  0.954  3.256  3.138  9.441  16.907 *
2017-09-30T12:43:42.000Z A 842 -3.609  0.027  2.001 -1.883  0.920  3.334  2.864  9.546  16.867 *
2017-09-30T12:43:43.000Z A 832 -2.942  0.083  2.354 -2.197  0.917  3.256  3.373  9.413  16.750 *
2017-09-30T12:43:44.000Z A 841 -3.530  0.055  2.158 -1.765  0.906  3.256  3.334  9.528  17.024 *
2017-09-30T12:43:45.000Z A 835 -3.256  0.078  10.552 -2.158  0.922  3.177  2.864  9.471  16.828 *
2017-09-30T12:43:45.000Z A 810 -3.256  0.045  2.314 -2.040  0.891  3.138  3.373  9.478  16.671 *
2017-09-30T12:43:47.000Z A 833 -3.177  0.068  2.118 -1.765  0.934  3.452  3.020  9.469  16.867 *
2017-09-30T12:43:48.000Z A 841 -3.648  0.068  2.510 -1.961  0.949  3.334  3.099  9.467  16.240 *
2017-09-30T12:43:49.000Z A 825 -3.452  0.096  2.158 -2.236  0.904  3.138  3.413  9.445  16.671 *
2017-09-30T12:43:50.000Z A 842 -3.217  0.086  2.236 -1.647  0.944  3.413  3.060  9.433  16.593 *
2017-09-30T12:43:50.000Z A 810 -2.903  0.064  2.118 -2.197  0.907  3.020  2.746  9.435  16.240 *
2017-09-30T12:43:52.000Z A 832 -3.452  0.059  2.079 -2.040  0.946  3.217  2.942  9.446  16.828 *
2017-09-30T12:43:53.000Z A 841 -3.138  0.032  2.118 -2.118  0.925  3.334  3.060  9.583  17.064 *
2017-09-30T12:43:54.000Z A 819 -3.256  0.061  2.393 -2.079  0.907  2.981  2.864  9.479  16.867 *
2017-09-30T12:43:55.000Z A 843 -3.295  0.058  2.079 -2.236  0.913  3.373  2.864  9.462  16.867 *
2017-09-30T12:43:55.000Z A 832 -3.177  0.071  2.197 -1.844  0.912  3.060  3.217  9.493  16.671 *
2017-09-30T12:43:57.000Z A 834 -3.609  0.065  2.314 -2.314  0.899  3.177  3.177  9.451  17.024 *
2017-09-30T12:43:58.000Z A 842 -3.648  0.033  2.236 -1.647  0.906  3.256  3.177  9.533  16.750 *
2017-09-30T12:43:59.000Z A 818 -3.177  0.069  2.236 -2.236  0.904  3.020  2.981  9.455  16.789 *
2017-09-30T12:44:00.000Z A 843 -3.373  0.075  2.197 -2.079  0.901  3.177  3.256  9.513  16.828 *
2017-09-30T12:44:00.000Z A 834 -4.040  0.053  2.197 -2.158  0.932  3.373  3.138  9.467  17.221 *
2017-09-30T12:44:02.000Z A 814 -3.687  0.065  2.079 -2.040  0.914  3.138  2.785  9.490  16.985 *
2017-09-30T12:44:03.000Z A 841 -3.648  0.052  2.158 -2.040  0.910  3.295  2.667  9.466  16.750 *
2017-09-30T12:44:04.000Z A 820 -3.883  0.088  2.197 -1.922  0.893  3.177  2.824  9.478  16.514 *
2017-09-30T12:44:05.000Z A 842 -3.687  0.035  2.118 -2.118  0.936  3.256  2.903  9.508  17.064 *
2017-09-30T12:44:05.000Z A 825 -3.373  0.041  2.079 -2.118  0.907  3.373  3.373  9.538  16.867 *
2017-09-30T12:44:07.000Z A 831 -3.256  0.039  2.197 -1.765  0.917  3.177  3.060  9.603  17.377 *
2017-09-30T12:44:08.000Z A 839 -3.177  0.041  2.197 -1.883  0.946  3.217  3.138  9.505  17.024 *
2017-09-30T12:44:09.000Z A 819 -3.217  0.094  2.236 -2.079  0.909  3.295  3.334  9.416  16.554 *
2017-09-30T12:44:10.000Z A 842 -3.060  0.087  2.158 -2.118  0.919  3.060  3.217  9.449  17.064 *
2017-09-30T12:44:10.000Z A 833 -3.295  0.044  2.158 -1.647  0.891  3.256  2.981  9.547  16.750 *
2017-09-30T12:44:12.000Z A 829 -2.981  0.083  2.236 -2.197  0.886  3.452  3.530  9.410  16.671 *
2017-09-30T12:44:13.000Z A 839 -3.530  0.069  2.354 -2.040  0.934  3.373  3.334  9.425  17.024 *
2017-09-30T12:44:14.000Z A 817 -2.981  0.059  2.275 -2.040  0.933  3.373  3.295  9.490  17.417 *
2017-09-30T12:44:15.000Z A 842 -2.942  0.073  2.236 -2.589  0.876  3.099  3.452  9.505  16.358 *
2017-09-30T12:44:15.000Z A 835 -3.452  0.046  2.314 -2.471  0.930  3.295  3.138  9.504  17.142 *
2017-09-30T12:44:17.000Z A 835 -3.373  0.061  2.118 -2.118  0.911  3.177  2.628  9.541  16.946 *
2017-09-30T12:44:18.000Z A 817 -2.824  0.089  2.079 -2.118  0.922  3.020  3.177  9.464  16.750 *
2017-09-30T12:44:19.000Z A 819 -3.295  0.059  2.197 -2.040  0.907  3.099  2.864  9.440  17.221 *
2017-09-30T12:44:20.000Z A 839 -3.530  0.056  2.236 -1.726  0.932  3.256  3.060  9.541  16.789 *
2017-09-30T12:44:21.000Z A 828 -3.530  0.065  2.118 -1.961  0.942  3.373  3.217  9.483  16.907 *
2017-09-30T12:44:22.000Z A 839 -3.138  0.041  2.079 -1.922  0.916  3.138  2.785  9.603  17.377 *
2017-09-30T12:44:23.000Z A 840 -2.824  0.069  2.158 -2.001  0.925  3.413  3.413  9.476  16.475 *
2017-09-30T12:44:24.000Z A 817 -3.099  0.072  2.040 -1.922  0.920  3.334  3.295  9.453  17.142 *
2017-09-30T12:44:25.000Z A 842 -3.020  0.068  2.197 -1.687  0.952  3.177  3.060  9.432  16.358 *
2017-09-30T12:44:25.000Z A 833 -3.844  0.060  2.118 -1.844  0.914  3.217  3.060  9.519  16.554 *
2017-09-30T12:44:27.000Z A 832 -3.687  0.040  2.079 -1.726  0.900  3.256  3.217  9.598  17.181 *
2017-09-30T12:44:28.000Z A 838 -3.177  0.053  2.471 -2.158  0.883  3.138  3.256  9.445  16.710 *
2017-09-30T12:44:29.000Z A 820 -3.452  0.069  2.079 -1.804  0.892  3.217  3.060  9.487  17.024 *
2017-09-30T12:44:30.000Z A 842 -3.217  0.029  2.236 -2.118  0.932  3.491  3.020  9.535  17.103 *
2017-09-30T12:44:31.000Z A 806 -3.530  0.064  2.158 -2.275  0.864  3.138  3.138  9.535  16.554 *
2017-09-30T12:44:32.000Z A 839 -3.256  0.073  2.158 -2.236  0.905  3.138  2.550  9.513  16.789 *
2017-09-30T12:44:33.000Z A 838 -3.373  0.037  2.314 -2.236  0.949  3.295  3.334  9.559  16.593 *
2017-09-30T12:44:34.000Z A 815 -3.373  0.073  2.314 -2.275  0.896  3.177  3.060  9.471  17.221 *
2017-09-30T12:44:35.000Z A 843 -3.883  0.053  1.961 -1.883  0.911  3.334  2.903  9.480  16.985 *
2017-09-30T12:44:35.000Z A 834 -2.864  0.067  2.118 -1.922  0.927  2.903  3.452  9.506  16.593 *
2017-09-30T12:44:37.000Z G  43.616850 -71.166042 586.286108 0.00 0 232 *
2017-09-30T12:44:37.000Z A 834 -3.138  0.041  2.118 -2.158  0.916  3.295  2.903  9.502  16.828 *
2017-09-30T12:44:38.000Z A 839 -3.177  0.058  2.040 -2.079  0.902  3.217  3.177  9.522  16.475 *
2017-09-30T12:44:39.000Z A 819 -3.138  0.045  2.236 -2.040  0.892  3.256  3.452  9.476  16.632 *
2017-09-30T12:44:40.000Z A 844 -3.138  0.057  2.118 -1.765  0.885  3.138  3.373  9.505  16.946 *
2017-09-30T12:44:41.000Z A 834 -2.903  0.069  2.079 -1.961  0.898  3.138  2.981  9.480  16.632 *
2017-09-30T12:44:42.000Z A 838 -3.256  0.070  2.197 -2.550  0.891  3.256  3.217  9.503  16.750 *
2017-09-30T12:44:43.000Z A 841 -3.177  0.063  2.197 -2.040  0.908  3.373  3.060  9.439  16.828 *
2017-09-30T12:44:44.000Z A 817 -3.138  0.066  2.158 -2.001  0.935  3.020  2.667  9.435  16.554 *
2017-09-30T12:44:45.000Z A 828 -3.373  0.061  2.040 -2.001  0.910  3.217  3.334  9.470  17.142 *
2017-09-30T12:44:45.000Z A 831 -3.334  0.045  2.118 -2.236  0.922  3.256  3.020  9.455  16.946 *
2017-09-30T12:44:47.000Z A 832 -3.373  0.051  2.197 -1.804  0.907  3.177  3.295  9.486  16.867 *
2017-09-30T12:44:48.000Z A 840 -3.177  0.045  2.079 -1.844  0.861  2.981  3.020  9.593  16.907 *
2017-09-30T12:44:49.000Z A 818 -2.824  0.059  2.040 -2.158  0.892  3.099  2.981  9.523  16.161 *
2017-09-30T12:44:50.000Z A 842 -3.452  0.069  2.079 -2.314  0.887  3.138  3.373  9.500  16.710 *
2017-09-30T12:44:51.000Z A 827 -3.020  0.068  2.236 -2.118  0.900  3.138  3.138  9.441  17.103 *
2017-09-30T12:44:52.000Z A 843 -3.060  0.048  2.314 -2.197  0.898  3.334  3.217  9.491  16.358 *
2017-09-30T12:44:53.000Z A 836 -3.844  0.038  2.118 -1.765  0.943  3.217  2.628  9.499  17.260 *
2017-09-30T12:44:54.000Z A 815 -3.609  0.046  2.275 -2.158  0.923  3.530  2.785  9.517  16.867 *
2017-09-30T12:44:55.000Z A 842 -3.413  0.062  2.118 -1.726  0.930  3.020  2.707  9.471  17.064 *
2017-09-30T12:44:56.000Z A 828 -3.020  0.056  2.354 -2.040  0.892  3.295  3.334  9.531  17.181 *
2017-09-30T12:44:57.000Z A 841 -2.942  0.033  2.275 -2.197  0.920  3.334  2.707  9.533  16.436 *
2017-09-30T12:44:58.000Z A 824 -3.373  0.070  2.354 -1.883  0.919  3.099  2.903  9.521  16.907 *
2017-09-30T12:44:59.000Z A 820 -3.060  0.050  2.236 -1.804  0.923  3.413  3.177  9.448  17.103 *
2017-09-30T12:45:00.000Z A 841 -3.177  0.044  2.118 -2.118  0.958  3.295  2.746  9.522  16.710 *
2017-09-30T12:45:01.000Z A 826 -3.217  0.054  2.118 -2.158  0.909  3.295  3.138  9.483  16.907 *
2017-09-30T12:45:02.000Z A 841 -3.099  0.052  2.314 -2.001  0.926  3.452  3.060  9.492  17.024 *
2017-09-30T12:45:03.000Z A 841 -3.295  0.035  2.197 -2.275  0.917  3.099  3.295  9.558  17.142 *
2017-09-30T12:45:04.000Z A 819 -3.766  0.077  2.197 -2.118  0.903  3.570  3.334  9.409  16.632 *
2017-09-30T12:45:05.000Z A 841 -3.217  0.063  2.118 -2.001  0.909  3.177  2.589  9.478  16.554 *
2017-09-30T12:45:06.000Z A 824 -3.805  0.043  2.236 -1.883  0.921  3.217  2.785  9.556  17.103 *
2017-09-30T12:45:07.000Z A 841 -3.491  0.036  2.275 -2.001  0.924  3.256  2.942  9.531  16.789 *
2017-09-30T12:45:08.000Z A 839 -3.413  0.065  2.314 -2.040  0.943  3.060  2.942  9.420  16.946 *
2017-09-30T12:45:09.000Z A 813 -3.413  0.064  1.961 -1.569  0.888  3.177  2.746  9.525  17.103 *
2017-09-30T12:45:10.000Z A 817 -2.864  0.075  2.510 -2.314  0.896  3.334  2.903  9.452  16.671 *
2017-09-30T12:45:10.000Z A 836 -3.766  0.066  2.079 -2.628  0.923  3.334  2.903  9.501  16.946 *
2017-09-30T12:45:12.000Z A 813 -3.334  0.032  2.158 -1.804  0.888  3.099  3.020  9.603  17.024 *
2017-09-30T12:45:13.000Z A 819 -3.138  0.081  2.001 -1.687  0.906  3.217  2.471  9.515  16.946 *
2017-09-30T12:45:14.000Z A 843 -3.413  0.058  2.393 -1.804  0.930  3.491  3.099  9.408  16.907 *
2017-09-30T12:45:15.000Z A 837 -3.530  0.039  2.275 -2.197  0.917  3.177  3.334  9.579  17.064 *
2017-09-30T12:45:15.000Z A 840 -3.020  0.095  2.707 -2.079  0.913  3.060  3.413  9.458  16.750 *
2017-09-30T12:45:17.000Z A 827 -3.570  0.061  2.118 -1.647  0.904  3.138  2.785  9.586  17.417 *
2017-09-30T12:45:18.000Z A 817 -3.138  0.056  2.275 -2.079  0.901  3.334  2.785  9.526  17.181 *
2017-09-30T12:45:19.000Z A 843 -3.413  0.040  2.275 -2.158  0.922  3.177  2.785  9.548  17.338 *
2017-09-30T12:45:20.000Z A 838 -3.687  0.047  2.236 -1.804  0.883  3.099  2.824  9.451  17.417 *
