
#v3
1496703613.325160 2017-06-11T16:03:44.000Z A 841 -0.392 -0.209 -0.039  0.314  0.540  0.745  9.454  9.682  10.003 *
1496703614.325586 2017-06-11T16:03:45.000Z A 844 -0.549 -0.249  0.039  0.079  0.505  1.412  9.022  9.690  10.238 *
1496703615.325678 2017-06-11T16:03:46.000Z A 816 -0.588 -0.333 -0.079  0.039  0.304  0.588  9.375  9.685  10.120 *
1496703616.326336 2017-06-11T16:03:47.000Z A 846 -0.745 -0.338  0.314 -0.157  0.270  1.059  8.787  9.705  10.905 *
1496703617.326472 2017-06-11T16:03:48.000Z A 831 -1.177 -0.411  0.588 -0.588  0.186  0.863  8.395  9.686  10.395 *
1496703618.327520 2017-06-11T16:03:49.000Z A 844 -0.628 -0.398 -0.157 -0.157  0.130  0.353  9.375  9.698  9.964 *
1496703619.328090 2017-06-11T16:03:50.000Z A 843 -0.588 -0.391 -0.157 -0.079  0.146  0.353  9.336  9.699  10.003 *
1496703620.328948 2017-06-11T16:03:51.000Z A 821 -0.706 -0.397 -0.196 -0.079  0.154  0.392  9.414  9.700  10.081 *
1496703621.329050 2017-06-11T16:03:52.000Z A 846 -0.784 -0.392  0.000  0.000  0.149  0.353  9.297  9.683  9.964 *
1496703622.329096 2017-06-11T16:03:53.000Z A 827 -0.628 -0.393 -0.118 -0.039  0.137  0.314  9.414  9.708  10.003 *
1496703623.329750 2017-06-11T16:03:54.000Z A 846 -0.745 -0.402 -0.039 -0.235  0.154  0.588  9.101  9.703  10.199 *
1496703624.330397 2017-06-11T16:03:55.000Z A 825 -0.588 -0.389 -0.196  0.000  0.144  0.392  9.414  9.701  9.964 *
1496703625.330987 2017-06-11T16:03:56.000Z A 819 -0.549 -0.392 -0.235 -0.157  0.140  0.471  9.493  9.694  10.003 *
1496703626.331439 2017-06-11T16:03:57.000Z A 846 -0.706 -0.398 -0.157 -0.118  0.148  0.392  9.414  9.694  10.003 *
1496703627.332234 2017-06-11T16:03:58.000Z A 828 -0.706 -0.384 -0.196 -0.039  0.136  0.392  9.336  9.695  10.003 *
1496703628.333265 2017-06-11T16:03:59.000Z A 846 -0.549 -0.389 -0.235  0.000  0.145  0.353  9.414  9.700  9.924 *
1496703629.333669 2017-06-11T16:04:00.000Z A 839 -0.549 -0.386 -0.157 -0.157  0.144  0.353  9.336  9.691  9.964 *
1496703630.333775 2017-06-11T16:04:01.000Z A 821 -0.588 -0.391 -0.196  0.000  0.142  0.353  9.454  9.697  9.964 *
1496703631.334633 2017-06-11T16:04:02.000Z A 845 -0.588 -0.395 -0.196 -0.039  0.144  0.431  9.414  9.695  9.964 *
1496703632.341966 2017-06-11T16:04:03.000Z A 835 -0.628 -0.396 -0.196  0.000  0.140  0.314  9.414  9.704  10.003 *
1496703633.342586 2017-06-11T16:04:04.000Z A 842 -0.588 -0.385 -0.196 -0.039  0.144  0.353  9.454  9.699  9.924 *
1496703634.343656 2017-06-11T16:04:05.000Z A 842 -0.588 -0.393 -0.196 -0.079  0.136  0.353  9.493  9.688  9.924 *
